Frequency, Impedance
200005, 769.330861
200995, 766.324624
202155, 767.011321
203260, 760.716168
204005, 762.467196
205060, 764.025833
206075, 758.634402
206850, 757.862109
208380, 755.722986
208900, 753.783747
209995, 750.486408
211200, 746.198771
212090, 744.196469
212995, 747.717465
213785, 743.345110
214840, 739.544560
215960, 729.752389
216955, 735.706098
218505, 731.232905
218540, 729.630763
219915, 727.494281
220595, 720.254944
222205, 731.017214
222925, 720.837187
223995, 727.470868
224990, 723.937640
225805, 718.681962
226890, 719.996009
227840, 711.542936
228860, 711.129283
230140, 704.661223
230960, 695.065190
231940, 692.315075
232700, 689.065168
234130, 677.952684
234920, 674.943780
236030, 673.165676
237055, 676.616611
237920, 681.940885
239020, 678.844141
240380, 671.902089
240500, 674.929515
241920, 673.133404
243115, 675.650983
243970, 685.066109
244995, 684.834445
245760, 689.339681
246920, 689.816337
247610, 687.249725
248605, 691.033349
250105, 683.376063
251310, 682.531851
251995, 679.144351
253155, 676.439153
253955, 676.783949
254975, 666.833427
255995, 661.533694
257025, 652.121629
257795, 643.021458
259075, 617.469862
260085, 596.154839
260995, 577.388634
262145, 640.868382
262500, 646.712089
264000, 668.169761
265155, 669.028812
266015, 667.676596
266900, 676.473761
268035, 680.943024
269055, 672.113882
270065, 673.327505
270920, 669.197765
272130, 662.062034
273150, 660.767731
273920, 654.526048
275045, 650.554341
275520, 649.336426
276740, 648.268626
278015, 640.584029
279035, 635.890172
279990, 637.692937
280905, 632.084778
282110, 621.780896
282875, 616.665218
284075, 612.760429
285225, 598.473266
286215, 592.544160
286975, 587.400472
288000, 569.204955
288920, 557.750781
290045, 532.060092
290830, 501.395229
292025, 457.280340
293105, 424.165870
293950, 475.928786
294915, 594.462070
295950, 645.592450
297210, 674.640062
297980, 677.695053
299010, 677.894436
299975, 675.405835
301055, 673.383171
301905, 666.146887
303450, 657.876158
303840, 655.799749
304640, 649.732221
305915, 641.999800
307150, 633.858764
308060, 623.663759
308995, 619.389387
309855, 617.406266
310970, 625.277303
311810, 620.991097
313145, 613.948633
314105, 608.543132
314995, 594.026362
315930, 581.931263
316850, 595.048844
317990, 620.065067
318740, 621.465251
320000, 617.785827
320940, 609.205669
321915, 599.878393
322830, 598.720890
324100, 580.109286
325035, 572.446259
325865, 568.091346
327500, 605.921812
327680, 607.945016
329130, 618.930645
330225, 614.148811
330850, 613.507750
332060, 612.342120
332840, 610.168854
334020, 604.800505
335075, 602.633446
335875, 597.819788
337150, 593.686635
338000, 596.329755
338685, 596.125368
339970, 585.309369
341065, 587.515792
341870, 587.358322
343025, 582.779253
344065, 584.589127
344860, 580.199688
345915, 577.333963
347030, 578.250944
347905, 577.933178
349500, 571.618074
349610, 575.463729
350985, 571.481458
352000, 567.057962
353005, 567.844690
353995, 565.309276
355060, 573.779952
356035, 560.372482
356865, 561.509676
357995, 560.512837
358915, 555.915023
359925, 547.702643
361215, 551.264252
362035, 549.429272
363005, 547.746826
364145, 545.686020
365055, 541.668948
365995, 542.003398
367100, 540.378659
368125, 537.820181
368990, 530.842509
370090, 538.814814
371455, 532.585344
371500, 533.019045
372995, 528.702978
373835, 526.179912
375040, 529.963631
375805, 522.265773
376835, 521.607268
377990, 519.945024
379140, 516.775305
380160, 517.599209
380930, 521.605502
382375, 512.328625
383065, 512.660263
384225, 504.819026
384855, 505.742850
386045, 506.521661
387070, 508.016671
387835, 496.977264
388865, 501.849433
389890, 494.582848
391145, 497.118775
391940, 496.896975
392640, 497.218541
393500, 499.301693
395005, 484.673776
395795, 487.339847
396910, 485.609984
398080, 478.592778
399105, 478.543348
400000, 475.788096
400955, 478.847837
401990, 471.615682
402945, 465.748723
404220, 464.811187
404995, 462.238066
405770, 466.457581
406960, 465.633230
407810, 464.203377
408835, 464.499737
410110, 460.771660
411055, 460.977091
411980, 455.267896
412930, 455.468510
413945, 451.650856
415165, 446.452760
416295, 440.488627
416990, 442.733873
417795, 440.990730
419015, 434.419241
419985, 431.033284
421115, 426.547483
421890, 428.070391
423085, 417.745074
424180, 415.820074
425025, 410.908412
425985, 405.864149
427010, 401.185837
428030, 398.190630
429055, 383.935696
429680, 384.905695
431050, 379.357976
432125, 375.780345
432970, 370.676354
434070, 373.239219
434945, 368.718234
435715, 364.311588
436990, 358.997891
438225, 350.540807
438995, 342.538347
439830, 341.490045
441085, 340.012292
442040, 322.865917
443065, 312.335536
444215, 298.626460
445180, 293.254729
446065, 279.067482
447000, 258.986192
447920, 249.447078
449060, 234.371735
450055, 222.913391
450820, 216.404889
452015, 212.578301
452990, 205.122314
453905, 207.527683
455170, 210.599929
456105, 231.157177
456960, 229.725251
458500, 230.822800
458755, 233.012300
460025, 210.192402
461055, 175.761874
461920, 138.928681
462850, 107.719672
463910, 103.565721
465090, 161.763364
465645, 214.308688
466945, 351.678452
468220, 465.806437
469070, 556.997312
469750, 617.000607
470995, 684.521565
471905, 695.936659
472835, 687.093457
473895, 657.848352
475145, 617.481284
475930, 587.650406
476985, 548.838334
478100, 510.159710
479095, 490.401537
480505, 507.534169
480680, 513.704423
481970, 579.815956
482575, 616.681945
483835, 658.664811
485070, 684.037058
486140, 695.062278
487130, 688.351780
487940, 679.835230
489040, 662.893633
489990, 657.935077
490835, 643.568947
491520, 625.230229
492975, 627.199822
494070, 620.271582
495215, 616.175492
495900, 608.314803
497075, 599.480921
498175, 600.464826
499195, 592.856886
500065, 589.581494
500995, 590.915978
502505, 576.367542
502525, 576.591045
503990, 568.530602
505085, 564.587206
505860, 558.992901
506870, 553.272342
507905, 555.741244
509065, 542.789604
509755, 542.557437
510980, 536.117966
512000, 533.127418
512770, 530.044514
514300, 526.877732
515035, 527.092226
515930, 522.778721
517090, 516.582919
517890, 515.749538
518910, 506.872566
519940, 506.095571
520960, 506.511921
522220, 493.387249
522910, 488.821286
524290, 472.138197
524505, 467.763450
526075, 500.228231
526870, 504.256424
527990, 508.714907
529045, 504.730915
530180, 501.330668
531075, 503.501415
532205, 497.674407
533070, 496.484764
533930, 502.510063
535295, 492.357957
536315, 486.440116
537095, 475.775662
538035, 490.563866
538880, 482.490996
539910, 473.870267
541060, 473.864323
542120, 467.257027
543045, 469.057777
544000, 467.217914
544935, 460.209766
546215, 466.632926
547365, 466.417433
548070, 466.941522
548870, 451.294552
550090, 459.960346
551065, 453.897489
551985, 454.829843
552965, 440.620357
553985, 448.697163
554990, 447.399854
555915, 442.617995
557060, 443.795368
557970, 438.563792
558895, 438.878828
560120, 426.908269
560750, 423.241280
562125, 416.449623
562945, 412.902419
564045, 403.915980
565140, 394.797478
565830, 389.245535
566785, 373.212184
568060, 371.597180
569330, 391.162348
569860, 407.060479
570905, 427.720556
571895, 451.750398
573140, 463.179841
574145, 457.481750
575290, 458.090725
576255, 447.863830
576775, 452.797395
578030, 442.473773
578980, 441.166959
579950, 436.343453
581120, 438.216624
581890, 433.658655
583085, 430.478746
584060, 424.149436
584985, 427.677149
585985, 447.254732
587005, 442.888910
587900, 441.844209
588675, 438.208771
589825, 437.997840
591100, 432.353936
592120, 435.088593
592995, 433.814398
593920, 434.462661
594985, 432.104905
595950, 431.691553
597220, 432.318177
597775, 429.855009
599035, 424.829226
